Name,W,L,Pct,Sets,Aces,Aces_PS,Assists,Assists_PS,Block Solos,Block Assists,Blocks_PS,Digs,Digs_PS,Kills,Errors,Total Attacks,Hitting_Pct,Kills,Kills_PS,Aces,Aces_PS,Digs,Digs_PS
A&M-Corpus Christi,19,10,0.655,103,151,1.47,1265,12.28,73,182,1.59,1612,15.65,1380,495,3615,0.245,1380,13.4,151,1.47,1612,15.65
Abilene Christian,9,15,0.375,86,98,1.14,1041,12.1,15,256,1.66,1394,16.21,1124,531,3251,0.182,1124,13.07,98,1.14,1394,16.21
Air Force,7,21,0.25,101,139,1.38,1050,10.4,40,351,2.13,1133,11.22,1160,567,3140,0.189,1160,11.49,139,1.38,1133,11.22
Akron,10,20,0.333,115,144,1.25,1242,10.8,53,343,1.95,1646,14.31,1389,645,4199,0.177,1389,12.08,144,1.25,1646,14.31
Alabama,10,20,0.333,108,137,1.27,1176,10.89,59,277,1.83,1544,14.3,1295,645,3822,0.17,1295,11.99,137,1.27,1544,14.30
Alabama A&M,5,23,0.179,94,114,1.21,659,7.01,41,157,1.27,1007,10.71,753,563,2682,0.071,753,8.01,114,1.21,1007,10.71
Alabama St.,17,17,0.5,123,210,1.71,1289,10.48,89,260,1.78,1521,12.37,1422,647,3761,0.206,1422,11.56,210,1.71,1521,12.37
Alcorn,4,24,0.143,99,121,1.22,887,8.96,37,144,1.1,1379,13.93,989,695,3461,0.085,989,9.99,121,1.22,1379,13.93
American,19,14,0.576,128,184,1.44,1365,10.66,38,436,2,1933,15.1,1507,638,4408,0.197,1507,11.77,184,1.44,1933,15.10
App State,7,22,0.241,109,130,1.19,1097,10.06,56,246,1.64,1440,13.21,1219,647,3709,0.154,1219,11.18,130,1.19,1440,13.21
Arizona,17,16,0.515,117,165,1.41,1334,11.4,57,376,2.09,1567,13.39,1478,619,3926,0.219,1478,12.63,165,1.41,1567,13.39
Arizona St.,14,17,0.452,126,159,1.26,1426,11.32,63,346,1.87,1827,14.5,1527,589,4282,0.219,1527,12.12,159,1.26,1827,14.50
Ark.-Pine Bluff,18,16,0.529,115,182,1.58,1223,10.63,107,276,2.13,1975,17.17,1339,623,4213,0.17,1339,11.64,182,1.58,1975,17.17
Arkansas,20,11,0.645,116,187,1.61,1472,12.69,39,379,1.97,1778,15.33,1587,623,4309,0.224,1587,13.68,187,1.61,1778,15.33
Arkansas St.,15,14,0.517,114,111,0.97,1360,11.93,74,381,2.32,2067,18.13,1461,643,4466,0.183,1461,12.82,111,0.97,2067,18.13
Army West Point,17,9,0.654,99,125,1.26,1120,11.31,69,285,2.14,1557,15.73,1225,563,3466,0.191,1225,12.37,125,1.26,1557,15.73
Auburn,13,15,0.464,103,101,0.98,1073,10.42,43,417,2.44,1633,15.85,1189,450,3647,0.203,1189,11.54,101,0.98,1633,15.85
Austin Peay,21,12,0.636,125,178,1.42,1519,12.15,80,358,2.07,1944,15.55,1662,619,4485,0.233,1662,13.3,178,1.42,1944,15.55
Ball St.,30,4,0.882,129,166,1.29,1656,12.84,89,347,2.03,2047,15.87,1776,543,4646,0.265,1776,13.77,166,1.29,2047,15.87
Baylor,22,6,0.786,103,110,1.07,1285,12.48,69,394,2.58,1390,13.5,1432,478,3391,0.281,1432,13.9,110,1.07,1390,13.50
Bellarmine,6,22,0.214,104,122,1.17,1117,10.74,30,208,1.29,1498,14.4,1200,629,3614,0.158,1200,11.54,122,1.17,1498,14.40
Belmont,9,20,0.31,104,119,1.14,1080,10.38,46,327,2.01,1414,13.6,1155,578,3582,0.161,1155,11.11,119,1.14,1414,13.60
