,ncaa_match_id,ht,h_sets,at,a_sets,match_id,h_pts,a_pts,date,winner,loser,pt_diff,win_pts,lose_pts
1,5181974,Stanford,3,Lindenwood,0,5181974,75,48,1/5/2022,Stanford,Lindenwood,27,75,48
2,5181991,Hawaii,3,Loyola Chicago,0,5181991,75,55,1/5/2022,Hawaii,Loyola Chicago,20,75,55
3,5182067,Central St. (OH),2,Indiana Tech,3,5182067,95,109,1/6/2022,Indiana Tech,Central St. (OH),14,109,95
4,5182133,UC Santa Barbara,2,Southern California,3,5182133,103,101,1/6/2022,Southern California,UC Santa Barbara,-2,101,103
5,5182144,Penn St.,3,BYU,0,5182144,75,51,1/6/2022,Penn St.,BYU,24,75,51
6,5182270,Stanford,3,Lindenwood,0,5182270,78,64,1/6/2022,Stanford,Lindenwood,14,78,64
7,5182373,UC Santa Barbara,1,Southern California,3,5182373,82,95,1/7/2022,Southern California,UC Santa Barbara,13,95,82
8,5182483,Grand Canyon,3,McKendree,1,5182483,107,101,1/7/2022,Grand Canyon,McKendree,6,107,101
9,5182501,King (TN),0,Purdue Fort Wayne,3,5182501,60,75,1/7/2022,Purdue Fort Wayne,King (TN),15,75,60
10,5182505,UC Irvine,3,Lindenwood,0,5182505,77,63,1/7/2022,UC Irvine,Lindenwood,14,77,63
11,5182510,Hawaii,3,Loyola Chicago,1,5182510,93,74,1/7/2022,Hawaii,Loyola Chicago,19,93,74
12,5182773,Ohio St.,3,Central St. (OH),0,5182773,75,56,1/7/2022,Ohio St.,Central St. (OH),19,75,56
13,5183103,Ohio St.,3,Central St. (OH),0,5183103,75,50,1/8/2022,Ohio St.,Central St. (OH),25,75,50
14,5183108,Penn St.,3,BYU,0,5183108,76,64,1/8/2022,Penn St.,BYU,12,76,64
15,5183181,Erskine,2,Lancaster Bible,3,5183181,107,108,1/8/2022,Lancaster Bible,Erskine,1,108,107
16,5183186,Stanford,3,UC Irvine,2,5183186,117,114,1/8/2022,Stanford,UC Irvine,3,117,114
17,5183208,Grand Canyon,3,McKendree,1,5183208,97,80,1/8/2022,Grand Canyon,McKendree,17,97,80
18,5187618,Lincoln Memorial,3,Purdue Fort Wayne,0,5187618,75,58,1/8/2022,Lincoln Memorial,Purdue Fort Wayne,17,75,58
19,5183590,Belmont Abbey,3,LIU,0,5183590,75,48,1/10/2022,Belmont Abbey,LIU,27,75,48
20,5183626,CUI,3,St. Xavier,1,5183626,94,87,1/10/2022,CUI,St. Xavier,7,94,87
21,5183756,UC Santa Barbara,3,St. Xavier,0,5183756,75,55,1/11/2022,UC Santa Barbara,St. Xavier,20,75,55
22,5183824,Lewis,3,Maryville (MO),0,5183824,75,36,1/11/2022,Lewis,Maryville (MO),39,75,36
