"","ncaa_match_id","set_number","ht","home","away","at","id"
"1","5181991",1,"Hawaii",25,14,"Loyola Chicago",200
"2","5181991",2,"Hawaii",25,23,"Loyola Chicago",453
"3","5181991",3,"Hawaii",25,18,"Loyola Chicago",660
"4","5182510",1,"Hawaii",25,19,"Loyola Chicago",848
"5","5182510",2,"Hawaii",25,16,"Loyola Chicago",1023
"6","5182510",3,"Hawaii",18,25,"Loyola Chicago",1221
"7","5182510",4,"Hawaii",25,14,"Loyola Chicago",1408
"8","5185175",1,"Hawaii",25,11,"Edward Waters",1565
"9","5185175",2,"Hawaii",25,7,"Edward Waters",1711
"10","5185175",3,"Hawaii",25,10,"Edward Waters",1883
"11","5186310",1,"Hawaii",25,10,"Edward Waters",2023
"12","5186310",2,"Hawaii",25,7,"Edward Waters",2152
"13","5186310",3,"Hawaii",25,12,"Edward Waters",2294
"14","5213050",1,"Ball St.",25,20,"Hawaii",2521
"15","5213050",2,"Ball St.",25,18,"Hawaii",2738
"16","5213050",3,"Ball St.",25,19,"Hawaii",2916
"17","5213053",1,"Ball St.",25,18,"Hawaii",3090
"18","5213053",2,"Ball St.",22,25,"Hawaii",3311
"19","5213053",3,"Ball St.",27,25,"Hawaii",3567
"20","5213053",4,"Ball St.",22,25,"Hawaii",3811
"21","5213053",5,"Ball St.",15,11,"Hawaii",3938
"22","5195741",1,"Hawaii",25,10,"Fairleigh Dickinson",4110
"23","5195741",2,"Hawaii",25,14,"Fairleigh Dickinson",4310
"24","5195741",3,"Hawaii",25,15,"Fairleigh Dickinson",4521
"25","5196006",1,"Hawaii",25,10,"Queens (NC)",4675
"26","5196006",2,"Hawaii",25,11,"Queens (NC)",4849
"27","5196006",3,"Hawaii",25,8,"Queens (NC)",4998
"28","5197458",1,"Hawaii",19,25,"Stanford",5246
"29","5197458",2,"Hawaii",25,13,"Stanford",5424
"30","5197458",3,"Hawaii",25,19,"Stanford",5687
"31","5197458",4,"Hawaii",25,20,"Stanford",5883
"32","5199540",1,"Hawaii",26,24,"LIU",6121
"33","5199540",2,"Hawaii",25,11,"LIU",6277
"34","5199540",3,"Hawaii",25,15,"LIU",6453
"35","5200272",1,"Hawaii",25,9,"LIU",6609
"36","5200272",2,"Hawaii",25,13,"LIU",6776
"37","5200272",3,"Hawaii",25,17,"LIU",6949
"38","5201872",1,"Hawaii",25,18,"LIU",7121
"39","5201872",2,"Hawaii",22,25,"LIU",7317
"40","5201872",3,"Hawaii",25,15,"LIU",7497
"41","5201872",4,"Hawaii",25,9,"LIU",7663
"42","5208191",1,"Hawaii",25,21,"Lincoln Memorial",7853
"43","5208191",2,"Hawaii",25,21,"Lincoln Memorial",8046
"44","5208191",3,"Hawaii",25,21,"Lincoln Memorial",8269
"45","5210488",1,"Hawaii",25,11,"Lincoln Memorial",8416
"46","5210488",2,"Hawaii",25,16,"Lincoln Memorial",8618
"47","5210488",3,"Hawaii",25,17,"Lincoln Memorial",8831
"48","5211620",1,"Hawaii",25,14,"Lincoln Memorial",8995
"49","5211620",2,"Hawaii",22,25,"Lincoln Memorial",9205
"50","5211620",3,"Hawaii",25,13,"Lincoln Memorial",9390
"51","5211620",4,"Hawaii",25,23,"Lincoln Memorial",9639
"52","5221608",1,"UC San Diego",25,22,"Hawaii",9862
"53","5221608",2,"UC San Diego",25,23,"Hawaii",10088
"54","5221608",3,"UC San Diego",25,27,"Hawaii",10349
"55","5221608",4,"UC San Diego",18,25,"Hawaii",10597
"56","5221608",5,"UC San Diego",15,9,"Hawaii",10697
"57","5223643",1,"UC San Diego",22,25,"Hawaii",10923
"58","5223643",2,"UC San Diego",20,25,"Hawaii",11132
"59","5223643",3,"UC San Diego",19,25,"Hawaii",11320
"60","5230553",1,"Hawaii",25,15,"Lewis",11488
"61","5230553",2,"Hawaii",25,21,"Lewis",11701
"62","5230553",3,"Hawaii",25,19,"Lewis",11944
"63","5232849",1,"Hawaii",25,18,"Lewis",12163
"64","5232849",2,"Hawaii",27,29,"Lewis",12467
"65","5232849",3,"Hawaii",25,19,"Lewis",12700
"66","5232849",4,"Hawaii",26,24,"Lewis",12907
"67","5245708",1,"Hawaii",25,20,"CSUN",13120
"68","5245708",2,"Hawaii",25,20,"CSUN",13307
"69","5245708",3,"Hawaii",23,25,"CSUN",13538
"70","5245708",4,"Hawaii",25,19,"CSUN",13756
"71","5247477",1,"Hawaii",25,11,"CSUN",13908
"72","5247477",2,"Hawaii",25,17,"CSUN",14107
"73","5247477",3,"Hawaii",26,24,"CSUN",14343
"74","5252077",1,"Long Beach St.",22,25,"Hawaii",14581
"75","5252077",2,"Long Beach St.",25,23,"Hawaii",14834
"76","5252077",3,"Long Beach St.",26,24,"Hawaii",15071
"77","5252077",4,"Long Beach St.",27,25,"Hawaii",15324
"78","5254088",1,"Long Beach St.",25,23,"Hawaii",15616
"79","5254088",2,"Long Beach St.",25,20,"Hawaii",15844
"80","5254088",3,"Long Beach St.",21,25,"Hawaii",16080
"81","5254088",4,"Long Beach St.",25,19,"Hawaii",16301
"82","5258651",1,"Hawaii",25,16,"UC Santa Barbara",16507
"83","5258651",2,"Hawaii",25,23,"UC Santa Barbara",16736
"84","5258651",3,"Hawaii",28,26,"UC Santa Barbara",17012
"85","5260332",1,"Hawaii",19,25,"UC Santa Barbara",17244
"86","5260332",2,"Hawaii",25,20,"UC Santa Barbara",17473
"87","5260332",3,"Hawaii",24,26,"UC Santa Barbara",17709
"88","5260332",4,"Hawaii",25,18,"UC Santa Barbara",17920
"89","5260332",5,"Hawaii",15,10,"UC Santa Barbara",18045
"90","5267730",1,"UC Irvine",21,25,"Hawaii",18276
"91","5267730",2,"UC Irvine",18,25,"Hawaii",18477
"92","5267730",3,"UC Irvine",22,25,"Hawaii",18710
"93","5268331",1,"UC Irvine",25,21,"Hawaii",18908
"94","5268331",2,"UC Irvine",18,25,"Hawaii",19145
"95","5268331",3,"UC Irvine",27,25,"Hawaii",19407
"96","5268331",4,"UC Irvine",20,25,"Hawaii",19604
"97","5268331",5,"UC Irvine",11,15,"Hawaii",19748
"98","5271602",1,"Hawaii",25,18,"UC Santa Barbara",19979
"99","5271602",2,"Hawaii",26,24,"UC Santa Barbara",20233
"100","5271602",3,"Hawaii",25,14,"UC Santa Barbara",20427
"101","5273738",1,"Hawaii",27,25,"Long Beach St.",20664
"102","5273738",2,"Hawaii",28,26,"Long Beach St.",20979
"103","5273738",3,"Hawaii",25,23,"Long Beach St.",21208
"104","5288238",1,"Hawaii",25,15,"North Greenville",21388
"105","5288238",2,"Hawaii",25,17,"North Greenville",21557
"106","5288238",3,"Hawaii",25,16,"North Greenville",21730
"107","5288241",1,"Ball St.",26,28,"Hawaii",21981
"108","5288241",2,"Ball St.",25,19,"Hawaii",22208
"109","5288241",3,"Ball St.",25,20,"Hawaii",22435
"110","5288241",4,"Ball St.",20,25,"Hawaii",22676
"111","5288241",5,"Ball St.",11,15,"Hawaii",22779
"112","5284706",1,"Hawaii",25,22,"Long Beach St.",23006
"113","5284706",2,"Hawaii",25,21,"Long Beach St.",23200
"114","5284706",3,"Hawaii",25,20,"Long Beach St.",23408
"115","5186116",1,"Long Beach St.",25,18,"Harvard",23573
"116","5186116",2,"Long Beach St.",24,16,"Harvard",23737
"117","5186116",3,"Long Beach St.",25,23,"Harvard",23940
"118","5186617",1,"Long Beach St.",25,13,"Erskine",24098
"119","5186617",2,"Long Beach St.",25,15,"Erskine",24282
"120","5186617",3,"Long Beach St.",25,11,"Erskine",24458
"121","5188447",1,"Lewis",22,25,"Long Beach St.",24725
"122","5188447",2,"Lewis",22,25,"Long Beach St.",24924
"123","5188447",3,"Lewis",26,24,"Long Beach St.",25183
"124","5188447",4,"Lewis",20,25,"Long Beach St.",25386
"125","5189600",1,"Loyola Chicago",17,25,"Long Beach St.",25428
"126","5189600",2,"Loyola Chicago",17,25,"Long Beach St.",25470
"127","5189600",3,"Loyola Chicago",22,25,"Long Beach St.",25517
"128","5192163",1,"Long Beach St.",24,26,"Ohio St.",25744
"129","5192163",2,"Long Beach St.",25,20,"Ohio St.",25933
"130","5192163",3,"Long Beach St.",25,15,"Ohio St.",26133
"131","5192163",4,"Long Beach St.",25,22,"Ohio St.",26359
"132","5192979",1,"Long Beach St.",27,25,"Penn St.",26577
"133","5192979",2,"Long Beach St.",21,25,"Penn St.",26791
"134","5192979",3,"Long Beach St.",25,20,"Penn St.",27039
"135","5192979",4,"Long Beach St.",23,25,"Penn St.",27245
"136","5192979",5,"Long Beach St.",11,15,"Penn St.",27354
"137","5196192",1,"Long Beach St.",15,25,"Southern California",27545
"138","5196192",2,"Long Beach St.",25,23,"Southern California",27775
"139","5196192",3,"Long Beach St.",25,21,"Southern California",27963
"140","5196192",4,"Long Beach St.",25,19,"Southern California",28158
"141","5201783",1,"Long Beach St.",25,22,"UCLA",28376
"142","5201783",2,"Long Beach St.",25,23,"UCLA",28629
"143","5201783",3,"Long Beach St.",25,13,"UCLA",28793
"144","5210371",1,"UCLA",25,20,"Long Beach St.",28979
"145","5210371",2,"UCLA",25,23,"Long Beach St.",29195
"146","5210371",3,"UCLA",23,25,"Long Beach St.",29413
"147","5210371",4,"UCLA",21,25,"Long Beach St.",29651
"148","5210371",5,"UCLA",15,12,"Long Beach St.",29798
"149","5215618",1,"Long Beach St.",25,19,"Stanford",30027
"150","5215618",2,"Long Beach St.",25,22,"Stanford",30259
