"","ncaa_match_id","ht","h_sets","at","a_sets","match_id","h_pts","a_pts","winner","loser","pt_diff","Date"
"1","5181974","Stanford",3,"Lindenwood",0,"5181974",75,48,"Stanford","Lindenwood",27,2022-01-01
"2","5181991","Hawaii",3,"Loyola Chicago",0,"5181991",75,55,"Hawaii","Loyola Chicago",20,2022-01-02
"3","5182067","Central St. (OH)",2,"Indiana Tech",3,"5182067",95,109,"Indiana Tech","Central St. (OH)",14,2022-01-03
"4","5182133","UC Santa Barbara",2,"Southern California",3,"5182133",103,101,"Southern California","UC Santa Barbara",-2,2022-01-04
"5","5182144","Penn St.",3,"BYU",0,"5182144",75,51,"Penn St.","BYU",24,2022-01-05
"6","5182270","Stanford",3,"Lindenwood",0,"5182270",78,64,"Stanford","Lindenwood",14,2022-01-06
"7","5182373","UC Santa Barbara",1,"Southern California",3,"5182373",82,95,"Southern California","UC Santa Barbara",13,2022-01-07
"8","5182483","Grand Canyon",3,"McKendree",1,"5182483",107,101,"Grand Canyon","McKendree",6,2022-01-08
"9","5182501","King (TN)",0,"Purdue Fort Wayne",3,"5182501",60,75,"Purdue Fort Wayne","King (TN)",15,2022-01-09
"10","5182505","UC Irvine",3,"Lindenwood",0,"5182505",77,63,"UC Irvine","Lindenwood",14,2022-01-10
"11","5182510","Hawaii",3,"Loyola Chicago",1,"5182510",93,74,"Hawaii","Loyola Chicago",19,2022-01-11
"12","5182773","Ohio St.",3,"Central St. (OH)",0,"5182773",75,56,"Ohio St.","Central St. (OH)",19,2022-01-12
"13","5183103","Ohio St.",3,"Central St. (OH)",0,"5183103",75,50,"Ohio St.","Central St. (OH)",25,2022-01-13
"14","5183108","Penn St.",3,"BYU",0,"5183108",76,64,"Penn St.","BYU",12,2022-01-14
"15","5183181","Erskine",2,"Lancaster Bible",3,"5183181",107,108,"Lancaster Bible","Erskine",1,2022-01-15
"16","5183186","Stanford",3,"UC Irvine",2,"5183186",117,114,"Stanford","UC Irvine",3,2022-01-16
"17","5183208","Grand Canyon",3,"McKendree",1,"5183208",97,80,"Grand Canyon","McKendree",17,2022-01-17
"18","5183590","Belmont Abbey",3,"LIU",0,"5183590",75,48,"Belmont Abbey","LIU",27,2022-01-18
"19","5183626","CUI",3,"St. Xavier",1,"5183626",94,87,"CUI","St. Xavier",7,2022-01-19
"20","5183756","UC Santa Barbara",3,"St. Xavier",0,"5183756",75,55,"UC Santa Barbara","St. Xavier",20,2022-01-20
"21","5183824","Lewis",3,"Maryville (MO)",0,"5183824",75,36,"Lewis","Maryville (MO)",39,2022-01-21
"22","5184112","Ohio St.",3,"Saint Francis (PA)",0,"5184112",75,51,"Ohio St.","Saint Francis (PA)",24,2022-01-22
"23","5184336","UC Irvine",3,"Harvard",0,"5184336",75,62,"UC Irvine","Harvard",13,2022-01-23
"24","5184340","Southern California",3,"Princeton",0,"5184340",85,75,"Southern California","Princeton",10,2022-01-24
"25","5184419","Belmont Abbey",3,"LIU",0,"5184419",79,67,"Belmont Abbey","LIU",12,2022-01-25
"26","5184439","Loyola Chicago",3,"NJIT",1,"5184439",97,85,"Loyola Chicago","NJIT",12,2022-01-26
"27","5184469","Pepperdine",3,"Erskine",0,"5184469",75,43,"Pepperdine","Erskine",32,2022-01-27
"28","5184583","Emmanuel (GA)",3,"Queens (NC)",2,"5184583",106,101,"Emmanuel (GA)","Queens (NC)",5,2022-01-28
"29","5184586","Ball St.",3,"Maryville (MO)",0,"5184586",75,43,"Ball St.","Maryville (MO)",32,2022-01-29
"30","5184587","Penn St.",3,"Grand Canyon",0,"5184587",75,60,"Penn St.","Grand Canyon",15,2022-01-30
"31","5184635","Belmont Abbey",3,"CarolinaU",0,"5184635",75,49,"Belmont Abbey","CarolinaU",26,2022-01-31
"32","5184761","CUI",3,"St. Katherine",0,"5184761",75,46,"CUI","St. Katherine",29,2022-02-01
"33","5184861","Southern California",3,"Erskine",0,"5184861",75,42,"Southern California","Erskine",33,2022-02-02
"34","5184932","LIU",0,"Springfield",3,"5184932",56,75,"Springfield","LIU",19,2022-02-03
"35","5185095","Lewis",3,"NJIT",1,"5185095",93,75,"Lewis","NJIT",18,2022-02-04
"36","5185158","Pepperdine",3,"Erskine",0,"5185158",75,49,"Pepperdine","Erskine",26,2022-02-05
"37","5185164","UC San Diego",3,"Harvard",1,"5185164",91,84,"UC San Diego","Harvard",7,2022-02-06
"38","5185165","UC Irvine",3,"Stanford",1,"5185165",98,87,"UC Irvine","Stanford",11,2022-02-07
"39","5185175","Hawaii",3,"Edward Waters",0,"5185175",75,28,"Hawaii","Edward Waters",47,2022-02-08
"40","5185180","Purdue Fort Wayne",3,"Maryville (MO)",0,"5185180",75,52,"Purdue Fort Wayne","Maryville (MO)",23,2022-02-09
"41","5185506","Ball St.",3,"Tusculum",0,"5185506",75,37,"Ball St.","Tusculum",38,2022-02-10
"42","5185640","King (TN)",3,"Fort Valley St.",0,"5185640",75,49,"King (TN)","Fort Valley St.",26,2022-02-11
"43","5185966","Mount Olive",3,"George Mason",2,"5185966",105,107,"Mount Olive","George Mason",-2,2022-02-12
"44","5185976","Lewis",3,"Saint Francis (PA)",0,"5185976",79,65,"Lewis","Saint Francis (PA)",14,2022-02-13
"45","5186042","Barton",0,"George Mason",3,"5186042",51,75,"George Mason","Barton",24,2022-02-14
"46","5186066","UCLA",3,"Princeton",0,"5186066",75,56,"UCLA","Princeton",19,2022-02-15
"47","5186106","UC San Diego",3,"Stanford",0,"5186106",75,65,"UC San Diego","Stanford",10,2022-02-16
"48","5186116","Long Beach St.",3,"Harvard",0,"5186116",74,57,"Long Beach St.","Harvard",17,2022-02-17
"49","5186310","Hawaii",3,"Edward Waters",0,"5186310",75,29,"Hawaii","Edward Waters",46,2022-02-18
"50","5186606","Pepperdine",3,"Princeton",0,"5186606",75,61,"Pepperdine","Princeton",14,2022-02-19
"51","5186617","Long Beach St.",3,"Erskine",0,"5186617",75,39,"Long Beach St.","Erskine",36,2022-02-20
"52","5187255","UC Santa Barbara",1,"Princeton",3,"5187255",85,103,"Princeton","UC Santa Barbara",18,2022-02-21
"53","5187601","Endicott",3,"American Int'l",0,"5187601",75,50,"Endicott","American Int'l",25,2022-02-22
"54","5187618","Lincoln Memorial",3,"Purdue Fort Wayne",0,"5187618",75,58,"Lincoln Memorial","Purdue Fort Wayne",17,2022-02-23
"55","5187897","Purdue Fort Wayne",2,"George Mason",3,"5187897",105,104,"George Mason","Purdue Fort Wayne",-1,2022-02-24
"56","5187927","Limestone",3,"Erskine",0,"5187927",83,65,"Limestone","Erskine",18,2022-02-25
